,vars,qincome
97,SecuritiesActivities,quarterlySecuritiesActivities
98,TrustFeesbyCommissions,quarterlyTrustFeesbyCommissions
99,ServiceChargeOnDepositorAccounts,quarterlyServiceChargeOnDepositorAccounts
100,TotalPremiumsEarned,quarterlyTotalPremiumsEarned
101,NetInterestIncome,quarterlyNetInterestIncome
102,InterestExpense,quarterlyInterestExpense
103,OtherInterestExpense,quarterlyOtherInterestExpense
104,InterestExpenseForFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,quarterlyInterestExpenseForFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell
105,InterestExpenseForLongTermDebtAndCapitalSecurities,quarterlyInterestExpenseForLongTermDebtAndCapitalSecurities
106,InterestExpenseForShortTermDebt,quarterlyInterestExpenseForShortTermDebt
107,InterestExpenseForDeposit,quarterlyInterestExpenseForDeposit
108,InterestIncome,quarterlyInterestIncome
109,OtherInterestIncome,quarterlyOtherInterestIncome
110,InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,quarterlyInterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell
111,InterestIncomeFromDeposits,quarterlyInterestIncomeFromDeposits
112,InterestIncomeFromSecurities,quarterlyInterestIncomeFromSecurities
113,InterestIncomeFromLoansAndLease,quarterlyInterestIncomeFromLoansAndLease
114,InterestIncomeFromLeases,quarterlyInterestIncomeFromLeases
115,InterestIncomeFromLoans,quarterlyInterestIncomeFromLoans
116,TaxEffectOfUnusualItems,quarterlyTaxEffectOfUnusualItems
117,OperatingRevenue,quarterlyOperatingRevenue
118,OtherunderPreferredStockDividend,quarterlyOtherunderPreferredStockDividend
119,GainOnSaleOfPPE,quarterlyGainOnSaleOfPPE
120,TotalOperatingIncomeAsReported,quarterlyTotalOperatingIncomeAsReported
121,InterestIncomeNonOperating,quarterlyInterestIncomeNonOperating
122,TotalExpenses,quarterlyTotalExpenses
123,NetNonOperatingInterestIncomeExpense,quarterlyNetNonOperatingInterestIncomeExpense
124,OtherTaxes,quarterlyOtherTaxes
125,ResearchAndDevelopment,quarterlyResearchAndDevelopment
126,ProvisionForDoubtfulAccounts,quarterlyProvisionForDoubtfulAccounts
127,OtherIncomeExpense,quarterlyOtherIncomeExpense
128,TotalOtherFinanceCost,quarterlyTotalOtherFinanceCost
129,ReconciledCostOfRevenue,quarterlyReconciledCostOfRevenue
130,OperatingExpense,quarterlyOperatingExpense
131,EarningsFromEquityInterest,quarterlyEarningsFromEquityInterest
132,CostOfRevenue,quarterlyCostOfRevenue
133,ExciseTaxes,quarterlyExciseTaxes
134,OtherOperatingExpenses,quarterlyOtherOperatingExpenses
135,InterestExpenseNonOperating,quarterlyInterestExpenseNonOperating
136,OperatingIncome,quarterlyOperatingIncome
137,GrossProfit,quarterlyGrossProfit
