,vars,qbalance
104,GrossAccountsReceivable,quarterlyGrossAccountsReceivable
105,NetLoan,quarterlyNetLoan
106,UnearnedIncome,quarterlyUnearnedIncome
107,AllowanceForLoansAndLeaseLosses,quarterlyAllowanceForLoansAndLeaseLosses
108,GrossLoan,quarterlyGrossLoan
109,OtherLoanAssets,quarterlyOtherLoanAssets
110,MortgageLoan,quarterlyMortgageLoan
111,ConsumerLoan,quarterlyConsumerLoan
112,CommercialLoan,quarterlyCommercialLoan
113,LoansHeldForSale,quarterlyLoansHeldForSale
114,DerivativeAssets,quarterlyDerivativeAssets
115,LongTermEquityInvestment,quarterlyLongTermEquityInvestment
116,SecuritiesAndInvestments,quarterlySecuritiesAndInvestments
117,OtherShortTermInvestments,quarterlyOtherShortTermInvestments
118,HeldToMaturitySecurities,quarterlyHeldToMaturitySecurities
119,AvailableForSaleSecurities,quarterlyAvailableForSaleSecurities
120,TradingSecurities,quarterlyTradingSecurities
121,BankOwnedLifeInsurance,quarterlyBankOwnedLifeInsurance
122,OtherRealEstateOwned,quarterlyOtherRealEstateOwned
123,ForeclosedAssets,quarterlyForeclosedAssets
124,CustomerAcceptances,quarterlyCustomerAcceptances
125,FederalHomeLoanBankStock,quarterlyFederalHomeLoanBankStock
126,SecurityBorrowed,quarterlySecurityBorrowed
127,CashCashEquivalentsAndFederalFundsSold,quarterlyCashCashEquivalentsAndFederalFundsSold
128,MoneyMarketInvestments,quarterlyMoneyMarketInvestments
129,FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,quarterlyFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell
130,SecurityAgreeToBeResell,quarterlySecurityAgreeToBeResell
131,FederalFundsSold,quarterlyFederalFundsSold
132,RestrictedCashAndInvestments,quarterlyRestrictedCashAndInvestments
133,RestrictedInvestments,quarterlyRestrictedInvestments
134,RestrictedCashAndCashEquivalents,quarterlyRestrictedCashAndCashEquivalents
135,CashAndCashEquivalents,quarterlyCashAndCashEquivalents
136,InterestBearingDepositsAssets,quarterlyInterestBearingDepositsAssets
137,CashAndDueFromBanks,quarterlyCashAndDueFromBanks
138,CashEquivalents,quarterlyCashEquivalents
139,CashFinancial,quarterlyCashFinancial
140,TotalPartnershipCapital,quarterlyTotalPartnershipCapital
141,GeneralPartnershipCapital,quarterlyGeneralPartnershipCapital
142,LimitedPartnershipCapital,quarterlyLimitedPartnershipCapital
143,TotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest
144,OtherNonCurrentLiabilities,quarterlyOtherNonCurrentLiabilities
145,LiabilitiesHeldforSaleNonCurrent,quarterlyLiabilitiesHeldforSaleNonCurrent
146,RestrictedCommonStock,quarterlyRestrictedCommonStock
147,NonCurrentAccruedExpenses,quarterlyNonCurrentAccruedExpenses
148,DuetoRelatedPartiesNonCurrent,quarterlyDuetoRelatedPartiesNonCurrent
